recipe_id,step_number,step_text
idli-sambar-9bc1ff,1,Steam idlis from batter in idli moulds for 10–12 minutes until spongy.
idli-sambar-9bc1ff,2,Cook toor dal until soft and mash or blend to smooth consistency.
idli-sambar-9bc1ff,3,"In a pan, sauté vegetables, add sambar powder and tamarind pulp with water, bring to boil."
idli-sambar-9bc1ff,4,"Add cooked dal, simmer 7–8 minutes, finish with tadka of mustard seeds and curry leaves."
idli-sambar-9bc1ff,5,Serve hot idlis with sambar and coconut chutney.
kheer-e3ef20,1,Wash rice and soak 15 minutes; drain.
kheer-e3ef20,2,"Bring milk to a boil in a heavy-bottom pan; add rice and simmer on low, stirring frequently."
kheer-e3ef20,3,Cook until rice is soft and milk reduces to creamy consistency (25-30 minutes).
kheer-e3ef20,4,"Add sugar, cardamom, saffron, nuts and raisins; simmer 2-3 minutes more and serve warm or chilled."
khichdi-37255734,1,"Wash rice, moong dal and toor dal thoroughly. Soak in water for 15 minutes, then drain."
khichdi-37255734,2,"Peel and chop onions; chop tomatoes, green chilies and dice potatoes into small cubes. Keep curry leaves whole and finely chop coriander for garnish."
khichdi-37255734,3,Place a 3–5 L pressure cooker on medium flame. Warm the cooker for 30–60 seconds and add oil; allow it to heat until it shimmers.
khichdi-37255734,4,Add jeera and mustard seeds. Let them splutter for 20–30 seconds but do not burn.
khichdi-37255734,5,"Add chopped onions and green chilies. Sauté for 3–4 minutes until onions turn light golden, stirring continuously."
khichdi-37255734,6,Add chopped tomato and cook for 1–2 minutes until tomatoes soften and turn pulpy.
khichdi-37255734,7,"Add salt, red chilli powder, turmeric, ginger-garlic paste, curry leaves and potato cubes. Mix and cook for 4–5 minutes to remove raw spice smell."
khichdi-37255734,8,"Add soaked and drained rice, moong dal and toor dal. Mix gently to avoid breaking rice grains."
khichdi-37255734,9,Pour 4 cups of water into the cooker and stir once. Check salt and adjust.
khichdi-37255734,10,Close the cooker lid and place the whistle. Cook on medium flame for 3 whistles (~10–12 minutes).
khichdi-37255734,11,Turn off the gas and allow the pressure to release naturally. Do not open immediately.
khichdi-37255734,12,"Open the lid carefully once pressure is released. Add chopped coriander, mix gently and serve hot with ghee or curd."
masala-dosa-733f88,1,"Soak rice and urad dal with fenugreek separately for 4–6 hours. Grind to a smooth batter, mix and ferment overnight (8–12 hours)."
masala-dosa-733f88,2,"Boil potatoes, peel and mash lightly; in a pan heat oil, add mustard seeds, curry leaves and onions, sauté until soft."
masala-dosa-733f88,3,"Add turmeric and chopped green chillies, add mashed potatoes, salt and mix; cook 2–3 minutes and finish with coriander."
masala-dosa-733f88,4,"Heat a non-stick tawa, pour a ladle of batter and spread into a thin circle; drizzle oil around edges."
masala-dosa-733f88,5,"When dosa edges lift and bottom is golden, place potato masala on one side and fold; serve hot with sambar and chutney."
paneer-butter-masala-6b6d65,1,Soak cashews in warm water for 15 minutes and grind to a smooth paste with a tablespoon of water.
paneer-butter-masala-6b6d65,2,Heat butter and oil in a heavy-bottom pan on medium flame. Add finely chopped onions and sauté until translucent (4-5 minutes).
paneer-butter-masala-6b6d65,3,Add ginger-garlic paste and sauté for 30 seconds until raw smell disappears.
paneer-butter-masala-6b6d65,4,Add tomato puree and cook on medium heat until oil separates from the masala (6-7 minutes).
paneer-butter-masala-6b6d65,5,"Add Kashmiri red chilli, turmeric, coriander powder and salt. Mix well and cook for 1 minute."
paneer-butter-masala-6b6d65,6,"Stir in the cashew paste and 1/2 cup water. Cook for 2-3 minutes on low heat, stirring continuously."
paneer-butter-masala-6b6d65,7,Add paneer cubes gently and simmer for 3 minutes so paneer absorbs the gravy flavors.
paneer-butter-masala-6b6d65,8,"Stir in fresh cream, kasuri methi (crushed) and garam masala. Cook for 1 minute."
paneer-butter-masala-6b6d65,9,Add sugar to balance the acidity and taste; adjust salt if necessary.
paneer-butter-masala-6b6d65,10,"Turn off the heat, garnish with chopped coriander and a drizzle of cream."
paneer-butter-masala-6b6d65,11,"Serve hot with naan, roti or jeera rice."
pasta-alfredo-1175f5,1,Cook pasta according to package instructions until al dente; reserve 1/4 cup pasta water.
pasta-alfredo-1175f5,2,"In a pan, melt butter, sauté garlic briefly then add heavy cream and simmer 2 minutes."
pasta-alfredo-1175f5,3,Stir in grated parmesan until melted and smooth. Add cooked pasta and toss; use reserved pasta water to adjust consistency.
pasta-alfredo-1175f5,4,"Season with salt and pepper, garnish with parsley and serve immediately."
pav-bhaji-ff8248,1,"Boil potatoes, cauliflower and peas until soft; mash roughly."
pav-bhaji-ff8248,2,"In a large pan, heat butter and oil; sauté chopped onions until golden."
pav-bhaji-ff8248,3,Add tomato puree and cook until oil separates; add pav bhaji masala and salt.
pav-bhaji-ff8248,4,"Add mashed vegetables, adjust water and simmer for 8-10 minutes, mashing well to a thick consistency."
pav-bhaji-ff8248,5,"Serve hot with buttered pav, chopped onions, coriander and lemon wedges."
sweet-corn-soup-3ba218,1,Heat oil in a pot; sauté onions and garlic until soft.
sweet-corn-soup-3ba218,2,Add carrots and capsicum and sauté for 1-2 minutes.
sweet-corn-soup-3ba218,3,Add sweet corn and vegetable stock; bring to a gentle boil.
sweet-corn-soup-3ba218,4,Mix cornflour with 3 tbsp water to make a slurry; slowly add to the soup while stirring to thicken.
sweet-corn-soup-3ba218,5,"If using egg, slowly pour beaten egg in a thin stream while stirring to create egg ribbons."
sweet-corn-soup-3ba218,6,"Season with salt and pepper, garnish with spring onion and serve hot."
tomato-soup-d1e249,1,"Blanch tomatoes in boiling water for 2 minutes, peel and roughly chop."
tomato-soup-d1e249,2,"Heat oil in a saucepan, sauté chopped onions and garlic until translucent."
tomato-soup-d1e249,3,Add chopped tomatoes and cook for 5-6 minutes until soft.
tomato-soup-d1e249,4,"Add stock, sugar and basil leaves; simmer for 10 minutes."
tomato-soup-d1e249,5,"Blend the soup until smooth, strain if desired, return to pot and adjust seasoning."
tomato-soup-d1e249,6,"Stir in a tablespoon of cream if using, garnish with basil and serve with croutons."
veg-burrito-9dc677,1,Warm tortillas on a pan for 20 seconds each to soften.
veg-burrito-9dc677,2,"Mix rice, beans, corn, sautéed onion and pepper, salsa and cheese."
veg-burrito-9dc677,3,"Place filling on tortilla, fold edges and roll tightly. Serve warm with salsa."
veg-hakka-noodles-5f19f2,1,"Boil noodles according to packet instructions with a little oil; drain, rinse in cold water and toss with a drop of oil to prevent sticking."
veg-hakka-noodles-5f19f2,2,"Heat wok, add oil and smashed garlic; sauté quickly."
veg-hakka-noodles-5f19f2,3,Add sliced onion and green chillies; stir-fry 1 minute until translucent.
veg-hakka-noodles-5f19f2,4,"Add shredded cabbage, carrots and capsicum; stir-fry on high heat for 2-3 minutes so vegetables remain crisp."
veg-hakka-noodles-5f19f2,5,"Add soy sauce, chilli sauce, vinegar, salt and pepper; toss well."
veg-hakka-noodles-5f19f2,6,Add noodles and toss vigorously on high heat for 1-2 minutes so sauces coat noodles evenly.
veg-hakka-noodles-5f19f2,7,Finish with spring onion greens and serve immediately.
veg-manchurian-gravy-a8b208,1,"Combine shredded cabbage, carrot, capsicum with salt, pepper, cornflour and maida; mix to form a stiff mixture."
veg-manchurian-gravy-a8b208,2,Shape mixture into small balls (manchurian balls) and deep fry in hot oil until golden brown; drain on paper towel.
veg-manchurian-gravy-a8b208,3,"For gravy, heat 2 tbsp oil in a pan; add minced garlic and ginger and sauté until aromatic."
veg-manchurian-gravy-a8b208,4,"Add chopped onion and sauté until soft; add ketchup, soy sauce and vinegar."
veg-manchurian-gravy-a8b208,5,Add 1 cup water and bring to a simmer. Mix cornflour with a little water and add to thicken the gravy to desired consistency.
veg-manchurian-gravy-a8b208,6,Add fried manchurian balls to the gravy and simmer for 2-3 minutes so flavors combine.
veg-manchurian-gravy-a8b208,7,Garnish with chopped spring onion and serve hot with fried rice or noodles.
test-paneer-9593,,Heat oil in a pan.
test-paneer-9593,,"Add tomatoes, cook and add paneer."
test-soup-6973,,Chop vegetables.
test-soup-6973,,Boil everything together for 15 minutes.
